title,description,author_id,duration_minutes,distance_km,date,picture,created_at
"Dirt Road Ride","Gravel grind with steady power.",1,125,58.00,2026-03-09T07:00:00Z,https://source.unsplash.com/collection/483251/800x600,2026-03-09T09:05:00Z
"Park Bench Strength","Bodyweight circuit between park benches.",2,30,,2026-01-05T12:00:00Z,https://source.unsplash.com/collection/139386/800x600,2026-01-05T12:40:00Z
"Interval Ladder","400-800-1200 ladder on track.",3,62,12.00,2026-04-11T06:00:00Z,https://source.unsplash.com/collection/190727/800x600,2026-04-11T07:10:00Z
"Sunset Spin","Evening easy spin to unwind.",1,38,15.00,2026-05-08T18:30:00Z,https://source.unsplash.com/collection/483251/800x600,2026-05-08T19:10:00Z
"Recovery Walk","Short walk with mobility breaks.",2,20,,2026-03-18T14:00:00Z,https://source.unsplash.com/collection/888146/800x600,2026-03-18T14:25:00Z
"Challenge Ride","Long endurance ride with climbing.",3,210,95.00,2025-09-22T06:00:00Z,https://source.unsplash.com/collection/483251/800x600,2025-09-22T10:15:00Z
"Parkrun PB Attempt","Tried to set a new 5K PR today.",1,33,5.00,2026-04-27T08:00:00Z,https://source.unsplash.com/collection/190727/800x600,2026-04-27T08:45:00Z
"Easy Day","Low effort maintenance run.",2,22,4.50,2026-02-12T09:00:00Z,https://source.unsplash.com/collection/190727/800x600,2026-02-12T09:30:00Z
"Tempo Brick","Bike then tempo run off the bike.",3,100,30.00,2026-03-05T06:00:00Z,https://source.unsplash.com/collection/483251/800x600,2026-03-05T07:50:00Z
"Core + Mobility","Gym core session and mobility drills.",1,40,,2026-04-16T12:00:00Z,https://source.unsplash.com/collection/139386/800x600,2026-04-16T12:50:00Z
"Night Ride","Group night ride with lights and reflective gear.",2,80,40.00,2026-01-30T20:00:00Z,https://source.unsplash.com/collection/483251/800x600,2026-01-30T21:20:00Z
"Fell Run","Hard hill run on the fells; epic views.",3,160,14.00,2025-11-10T09:00:00Z,https://source.unsplash.com/collection/1111575/800x600,2025-11-10T11:40:00Z
"Coffee + Walk","Slow walk with friends and coffee break.",1,25,,2026-04-21T10:00:00Z,https://source.unsplash.com/collection/888146/800x600,2026-04-21T10:30:00Z
"Threshold Test","20-minute threshold test on the road.",2,55,13.00,2026-03-01T06:00:00Z,https://source.unsplash.com/collection/190727/800x600,2026-03-01T07:05:00Z
"Tempo Run Progress","Solid tempo session with negative splits.",3,58,11.00,2026-04-29T06:15:00Z,https://source.unsplash.com/collection/190727/800x600,2026-04-29T07:20:00Z
"Club Time Trial","Short TT effort with the club.",1,36,9.50,2026-03-17T07:00:00Z,https://source.unsplash.com/collection/483251/800x600,2026-03-17T07:45:00Z
"Recovery Swim Session","Gentle swim to loosen shoulders.",2,30,,2026-02-22T18:00:00Z,https://source.unsplash.com/collection/139386/800x600,2026-02-22T18:40:00Z
"Evening Social Ride","Casual pace, lots of chatting.",3,70,25.00,2026-04-06T18:00:00Z,https://source.unsplash.com/collection/483251/800x600,2026-04-06T19:20:00Z
